;;;;;;;;;;;;;;
FECHA;TAREA;SUPERVISOR;OPERADOR;REFERENCIA;ESTADO_FENOLOGICO;FRANJA;LOTE;CUARTEL;CALLE;HAS_CALLE;AGUA;TAREA_DETALLE;PRODUCTO;CANTIDAD
;;;;;;;;;;;;46;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;47;;;;;;20;C-3;50-63;1.333;2000;47;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;47;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;48;;;;;;20;C-3;64-77;1.333;2000;48;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;48;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;49;;;;;;20;C-3;78-91;1.333;2000;49;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;49;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;50;;;;;;20;C-3;92-93;0.171;250;50;THIAMETHOXAM VIVORAL 25 WG;0.2
;;;;;;;;;;;;50;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.02
7/06/2023;51;;;;;;20;C-4;1-63;1.162;1750;51;THIAMETHOXAM VIVORAL 25 WG;1
;;;;;;;;;;;;51;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.14
7/06/2023;52;;;;;;20;C-4;64-93;0.518;710;52;THIAMETHOXAM VIVORAL 25 WG;0.46
;;;;;;;;;;;;52;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.06
7/06/2023;53;;;;;;19;B-1;48-58;1.268;1903;53;THIAMETHOXAM VIVORAL 25 WG;1.14
;;;;;;;;;;;;53;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.15
7/06/2023;54;;;;;;19;B-1;59-69;1.268;1903;54;THIAMETHOXAM VIVORAL 25 WG;1.14
;;;;;;;;;;;;54;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.15
7/06/2023;55;;;;;;19;B-1;70-80;1.268;1903;55;THIAMETHOXAM VIVORAL 25 WG;1.14
;;;;;;;;;;;;55;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.15
7/06/2023;56;;;;;;19;B-1;81-91;1.268;1903;56;THIAMETHOXAM VIVORAL 25 WG;1.14
;;;;;;;;;;;;56;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.15
7/06/2023;57;;;;;;19;B-1;92-93;0.238;357;57;THIAMETHOXAM VIVORAL 25 WG;0.21
;;;;;;;;;;;;57;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.03
7/06/2023;58;;;;;;19;B-2;48-59;1.095;1643;58;THIAMETHOXAM VIVORAL 25 WG;0.99
;;;;;;;;;;;;58;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.13
7/06/2023;59;;;;;;19;B-2;60-73;1.333;2000;59;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;59;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;60;;;;;;19;B-2;74-87;1.333;2000;60;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;60;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;61;;;;;;19;B-2;88-93;0.549;823;61;THIAMETHOXAM VIVORAL 25 WG;0.5
;;;;;;;;;;;;61;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.07
7/06/2023;62;;;;;;19;B-3;48-55;0.784;1177;62;THIAMETHOXAM VIVORAL 25 WG;0.7
;;;;;;;;;;;;62;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.09
7/06/2023;63;;;;;;19;B-3;56-69;1.333;2000;63;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;63;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;64;;;;;;19;B-3;70-83;1.333;2000;64;THIAMETHOXAM VIVORAL 25 WG;1.2
;;;;;;;;;;;;64;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
7/06/2023;65;;;;;;19;B-3;84-93;0.99;1485;65;THIAMETHOXAM VIVORAL 25 WG;0.9
;;;;;;;;;;;;65;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.12
7/06/2023;66;;;;;;19;B-4;48-59;0.343;515;66;THIAMETHOXAM VIVORAL 25 WG;0.3
;;;;;;;;;;;;66;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.04
7/06/2023;67;;;;;;19;B-4;60-93;1.007;1500;67;THIAMETHOXAM VIVORAL 25 WG;0.91
;;;;;;;;;;;;67;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.12
9/06/2023;68;;;;;;50;A;1-15;1.333;2000;68;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;69;;;;;;50;A;16-30;1.333;2000;69;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;70;;;;;;50;A;31-45;1.333;2000;70;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;71;;;;;;50;A;46-55;0.851;1275;71;POLISULFURO DE CALCIO POLISULFUCRON 34%;14.67
9/06/2023;72;;;;;;50;B;1-15;1.333;2000;72;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;73;;;;;;50;B;16-30;1.333;2000;73;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;74;;;;;;50;B;31-45;1.333;2000;74;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;75;;;;;;50;B;46-55;0.851;1275;75;POLISULFURO DE CALCIO POLISULFUCRON 34%;14.67
9/06/2023;76;;;;;;50;C;1-15;1.333;2000;76;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;77;;;;;;50;C;16-30;1.333;2000;77;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;78;;;;;;50;C;31-45;1.333;2000;78;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;79;;;;;;50;C;46-55;0.851;1275;79;POLISULFURO DE CALCIO POLISULFUCRON 34%;14.67
9/06/2023;80;;;;;;50;D;1-15;1.333;2000;80;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;81;;;;;;50;D;16-30;1.333;2000;81;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;82;;;;;;50;D;31-44;1.224;1835;82;POLISULFURO DE CALCIO POLISULFUCRON 34%;21.1
9/06/2023;83;;;;;;50;E;1-15;1.333;2000;83;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;84;;;;;;50;E;16-30;1.333;2000;84;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;85;;;;;;50;E;31-44;1.224;1835;85;POLISULFURO DE CALCIO POLISULFUCRON 34%;21.1
9/06/2023;86;;;;;;50;F;1-15;1.333;2000;86;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;87;;;;;;50;F;16-30;1.333;2000;87;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;88;;;;;;50;F;31-44;1.224;1835;88;POLISULFURO DE CALCIO POLISULFUCRON 34%;21.1
9/06/2023;89;;;;;;50;G;1-15;1.333;2000;89;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;90;;;;;;50;G;16-30;1.333;2000;90;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;91;;;;;;50;G;31-44;1.224;1835;91;POLISULFURO DE CALCIO POLISULFUCRON 34%;21.1
9/06/2023;92;;;;;;50;H;1-35;1.333;2000;92;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;93;;;;;;50;H;36-70;1.333;2000;93;POLISULFURO DE CALCIO POLISULFUCRON 34%;23
9/06/2023;94;;;;;;50;H;71-79;0.334;500;94;POLISULFURO DE CALCIO POLISULFUCRON 34%;5.74
