ID;FENOLOGIA
521;BROTE 56.3 CM
522;BROTE 56.4 CM
523;BROTE 56.5 CM
524;BROTE 56.6 CM
525;BROTE 56.7 CM
526;BROTE 56.8 CM
527;BROTE 56.9 CM
528;BROTE 57 CM
529;BROTE 57.1 CM
530;BROTE 57.2 CM
531;BROTE 57.3 CM
532;BROTE 57.4 CM
533;BROTE 57.5 CM
534;BROTE 57.6 CM
535;BROTE 57.7 CM
536;BROTE 57.8 CM
537;BROTE 57.9 CM
538;BROTE 58 CM
539;BROTE 58.1 CM
540;BROTE 58.2 CM
541;BROTE 58.3 CM
542;BROTE 58.4 CM
543;BROTE 58.5 CM
544;BROTE 58.6 CM
545;BROTE 58.7 CM
546;BROTE 58.8 CM
547;BROTE 58.9 CM
548;BROTE 59 CM
549;BROTE 59.1 CM
550;BROTE 59.2 CM
551;BROTE 59.3 CM
552;BROTE 59.4 CM
553;BROTE 59.5 CM
554;BROTE 59.6 CM
555;BROTE 59.7 CM
556;BROTE 59.8 CM
557;BROTE 59.9 CM
558;BROTE 60 CM
559;BROTE 60.1 CM
560;BROTE 60.2 CM
561;BROTE 60.3 CM
562;BROTE 60.4 CM
563;BROTE 60.5 CM
564;BROTE 60.6 CM
565;BROTE 60.7 CM
566;BROTE 60.8 CM
567;BROTE 60.9 CM
568;BROTE 61 CM
569;BROTE 61.1 CM
570;BROTE 61.2 CM
571;BROTE 61.3 CM
572;BROTE 61.4 CM
573;BROTE 61.5 CM
574;BROTE 61.6 CM
575;BROTE 61.7 CM
576;BROTE 61.8 CM
577;BROTE 61.9 CM
578;BROTE 62 CM
579;BROTE 62.1 CM
580;BROTE 62.2 CM
581;BROTE 62.3 CM
582;BROTE 62.4 CM
583;BROTE 62.5 CM
584;BROTE 62.6 CM
585;BROTE 62.7 CM
586;BROTE 62.8 CM
587;BROTE 62.9 CM
588;BROTE 63 CM
589;BROTE 63.1 CM
590;BROTE 63.2 CM
591;BROTE 63.3 CM
592;BROTE 63.4 CM
593;BROTE 63.5 CM
594;BROTE 63.6 CM
595;BROTE 63.7 CM
596;BROTE 63.8 CM
597;BROTE 63.9 CM
598;BROTE 64 CM
599;BROTE 64.1 CM
600;BROTE 64.2 CM
601;BROTE 64.3 CM
602;BROTE 64.4 CM
603;BROTE 64.5 CM
604;BROTE 64.6 CM
605;BROTE 64.7 CM
606;BROTE 64.8 CM
607;BROTE 64.9 CM
608;BROTE 65 CM
609;BROTE 65.1 CM
610;BROTE 65.2 CM
611;BROTE 65.3 CM
612;BROTE 65.4 CM
613;BROTE 65.5 CM
614;BROTE 65.6 CM
615;BROTE 65.7 CM
616;BROTE 65.8 CM
617;BROTE 65.9 CM
618;BROTE 66 CM
619;BROTE 66.1 CM
620;BROTE 66.2 CM
621;BROTE 66.3 CM
622;BROTE 66.4 CM
623;BROTE 66.5 CM
624;BROTE 66.6 CM
625;BROTE 66.7 CM
626;BROTE 66.8 CM
627;BROTE 66.9 CM
628;BROTE 67 CM
629;BROTE 67.1 CM
630;BROTE 67.2 CM
631;BROTE 67.3 CM
632;BROTE 67.4 CM
633;BROTE 67.5 CM
634;BROTE 67.6 CM
635;BROTE 67.7 CM
636;BROTE 67.8 CM
637;BROTE 67.9 CM
638;BROTE 68 CM
639;BROTE 68.1 CM
640;BROTE 68.2 CM
641;BROTE 68.3 CM
642;BROTE 68.4 CM
643;BROTE 68.5 CM
644;BROTE 68.6 CM
645;BROTE 68.7 CM
646;BROTE 68.8 CM
647;BROTE 68.9 CM
648;BROTE 69 CM
649;BROTE 69.1 CM
650;BROTE 69.2 CM
651;BROTE 69.3 CM
652;BROTE 69.4 CM
653;BROTE 69.5 CM
654;BROTE 69.6 CM
655;BROTE 69.7 CM
656;BROTE 69.8 CM
657;BROTE 69.9 CM
658;BROTE 70 CM
659;BROTE 70.1 CM
660;BROTE 70.2 CM
661;BROTE 70.3 CM
662;BROTE 70.4 CM
663;BROTE 70.5 CM
664;BROTE 70.6 CM
665;BROTE 70.7 CM
666;BROTE 70.8 CM
667;BROTE 70.9 CM
668;BROTE 80 CM
669;BROTE 80.1 CM
670;BROTE 80.2 CM
671;BROTE 80.3 CM
672;BROTE 80.4 CM
673;BROTE 80.5 CM
674;BROTE 80.6 CM
675;BROTE 80.7 CM
676;BROTE 80.8 CM
677;BROTE 80.9 CM
678;BROTE 81 CM
679;BROTE 81.1 CM
680;BROTE 81.2 CM
681;BROTE 81.3 CM
682;BROTE 81.4 CM
683;BROTE 81.5 CM
684;BROTE 81.6 CM
685;BROTE 81.7 CM
686;BROTE 81.8 CM
687;BROTE 81.9 CM
688;BROTE 82 CM
689;BROTE 82.1 CM
690;BROTE 82.2 CM
691;BROTE 82.3 CM
692;BROTE 82.4 CM
693;BROTE 82.5 CM
694;BROTE 82.6 CM
695;BROTE 82.7 CM
696;BROTE 82.8 CM
697;BROTE 82.9 CM
698;BROTE 83 CM
699;BROTE 83.1 CM
700;BROTE 83.2 CM
701;BROTE 83.3 CM
702;BROTE 83.4 CM
703;BROTE 83.5 CM
704;BROTE 83.6 CM
705;BROTE 83.7 CM
706;BROTE 83.8 CM
707;BROTE 83.9 CM
708;BROTE 84 CM
709;BROTE 84.1 CM
710;BROTE 84.2 CM
711;BROTE 84.3 CM
712;BROTE 84.4 CM
713;BROTE 84.5 CM
714;BROTE 84.6 CM
715;BROTE 84.7 CM
716;BROTE 84.8 CM
717;BROTE 84.9 CM
718;BROTE 85 CM
719;BROTE 85.1 CM
720;BROTE 85.2 CM
721;BROTE 85.3 CM
722;BROTE 85.4 CM
723;BROTE 85.5 CM
724;BROTE 85.6 CM
725;BROTE 85.7 CM
